# Array shape: (5, 5, 6, 10)
#
#
# ========================== Block 1/10 ==========================
#
# -------- Slice 1/6 --------
-0.022403 0.020477 -0.065618 -0.053479 0.029054
0.095714 0.066154 0.071060 -0.104441 0.034168
0.065263 0.169824 -0.085837 -0.034501 -0.140564
0.031737 0.043859 0.052846 0.180216 0.107922
0.034444 0.087247 0.110366 -0.034528 0.056392
# 2-D slice -> max_value: 0.180216, min_value:-0.140564 
#
# -------- Slice 2/6 --------
0.152956 0.147011 -0.122654 0.124969 -0.047072
0.052376 0.042610 -0.080226 0.025601 -0.056966
0.059458 0.101030 -0.146783 0.037432 0.123273
0.159645 -0.160388 0.095616 -0.090829 0.099437
0.094005 -0.188811 -0.016347 0.121433 0.027695
# 2-D slice -> max_value: 0.159645, min_value:-0.188811 
#
# -------- Slice 3/6 --------
0.032713 0.037734 0.189477 -0.021553 -0.015164
0.010357 -0.041710 -0.092346 -0.012972 -0.069994
0.096206 -0.160188 0.080398 -0.035328 0.053319
0.042187 0.074682 -0.007759 -0.052549 0.068037
-0.081170 0.097502 0.037482 0.057998 0.125365
# 2-D slice -> max_value: 0.189477, min_value:-0.160188 
#
# -------- Slice 4/6 --------
-0.012019 -0.087167 -0.005100 0.033587 -0.134026
-0.111596 0.025074 -0.024337 -0.026279 -0.058638
-0.110054 0.129694 -0.020504 0.127763 -0.073162
0.023801 -0.017152 0.023025 0.095071 0.054286
-0.082156 0.114532 -0.111089 0.111201 -0.040965
# 2-D slice -> max_value: 0.129694, min_value:-0.134026 
#
# -------- Slice 5/6 --------
0.104183 0.029180 -0.030952 -0.025211 0.078390
-0.081731 -0.166790 0.168588 -0.052751 -0.084353
0.012047 -0.070405 -0.074604 -0.044540 0.165831
0.039583 0.025172 -0.016205 0.020757 -0.058865
-0.061463 -0.004856 0.066311 0.000297 0.042369
# 2-D slice -> max_value: 0.168588, min_value:-0.166790 
#
# -------- Slice 6/6 --------
-0.083733 0.044124 -0.117914 0.076030 0.053751
-0.112863 0.018369 0.015852 0.176574 0.020571
-0.019576 0.185056 0.150249 -0.092683 -0.060172
-0.037441 -0.093033 -0.002093 -0.025191 -0.012318
-0.127995 0.040808 0.132197 0.058109 -0.079864
# 2-D slice -> max_value: 0.185056, min_value:-0.127995 
#
# ========================== Block 2/10 ==========================
#
# -------- Slice 1/6 --------
0.031543 0.124950 0.092372 0.035971 0.151575
-0.022722 -0.068017 -0.082128 -0.013761 0.031787
-0.123936 -0.065492 -0.146688 -0.107872 -0.208656
-0.122204 0.103729 -0.013325 0.119959 0.068036
-0.014608 -0.086087 0.057861 -0.018662 0.000689
# 2-D slice -> max_value: 0.151575, min_value:-0.208656 
#
# -------- Slice 2/6 --------
-0.124653 0.072102 -0.207451 0.110350 -0.091344
0.081093 -0.031179 0.030260 -0.018358 0.001428
0.114321 0.021644 0.039575 0.081982 0.136912
0.089538 -0.003514 -0.020266 0.051374 -0.139578
-0.147579 -0.038618 0.022805 -0.108399 0.024603
# 2-D slice -> max_value: 0.136912, min_value:-0.207451 
#
# -------- Slice 3/6 --------
-0.061054 -0.010929 -0.074410 -0.059969 -0.029501
0.011072 -0.032172 0.023007 0.109124 0.048186
-0.104530 -0.060770 0.071792 -0.133750 -0.002272
-0.010769 0.048689 -0.121405 -0.068887 -0.064848
-0.002019 0.004034 0.054109 0.138940 0.078344
# 2-D slice -> max_value: 0.138940, min_value:-0.133750 
#
# -------- Slice 4/6 --------
-0.080596 -0.039096 0.100254 -0.070372 -0.144550
-0.030499 0.009957 -0.094840 0.094582 -0.102167
-0.159390 -0.048120 -0.100383 -0.071226 0.194806
-0.070225 0.195961 -0.150175 0.098015 -0.024701
0.032077 0.086864 -0.130090 -0.060020 0.098387
# 2-D slice -> max_value: 0.195961, min_value:-0.159390 
#
# -------- Slice 5/6 --------
-0.054099 -0.019547 0.057539 -0.052772 -0.012472
0.011793 -0.114524 -0.183590 0.132643 0.097917
0.145587 -0.065353 -0.048948 -0.037503 -0.045089
0.003893 0.076675 0.079900 0.036021 -0.035226
-0.127382 0.056521 -0.002021 -0.029725 0.057113
# 2-D slice -> max_value: 0.145587, min_value:-0.183590 
#
# -------- Slice 6/6 --------
0.016171 -0.007888 -0.040872 0.116464 -0.053069
0.049656 -0.042776 0.145241 0.064949 0.028233
0.142893 -0.013284 0.103927 -0.055640 0.093830
-0.017636 -0.046248 0.045345 -0.169384 -0.002079
0.063349 -0.207473 0.044395 -0.040112 -0.063026
# 2-D slice -> max_value: 0.145241, min_value:-0.207473 
#
# ========================== Block 3/10 ==========================
#
# -------- Slice 1/6 --------
-0.045092 -0.095108 -0.163792 -0.091794 0.169740
0.097846 -0.095108 0.000996 -0.100756 0.179758
-0.173358 0.075791 -0.060895 -0.001388 0.050499
0.020946 0.102771 -0.093340 0.094394 0.073330
0.053204 -0.170840 0.003856 -0.150997 -0.182118
# 2-D slice -> max_value: 0.179758, min_value:-0.182118 
#
# -------- Slice 2/6 --------
-0.002152 -0.020911 -0.065072 -0.097608 -0.144225
-0.136818 -0.155556 -0.077682 0.031721 -0.046122
0.045885 0.026720 -0.147894 0.035883 0.007990
-0.037174 0.018125 0.037507 0.020127 -0.085765
0.062817 0.023146 -0.074607 -0.081989 0.105936
# 2-D slice -> max_value: 0.105936, min_value:-0.155556 
#
# -------- Slice 3/6 --------
-0.062191 0.025368 0.082716 -0.111114 0.008990
0.015402 -0.051646 -0.028260 0.069789 0.171513
0.083675 0.100734 0.016293 0.113982 0.010571
-0.036619 0.048492 -0.114944 0.010918 -0.001639
0.084221 0.075534 0.006981 -0.127946 0.129720
# 2-D slice -> max_value: 0.171513, min_value:-0.127946 
#
# -------- Slice 4/6 --------
-0.027028 -0.143196 -0.001186 -0.056392 -0.181357
0.163928 -0.032995 -0.047453 0.086465 0.071819
0.117867 -0.178866 -0.028783 -0.005498 0.005549
-0.064734 -0.084762 -0.128505 -0.076721 0.013739
-0.034087 -0.087810 0.039256 -0.022278 0.059016
# 2-D slice -> max_value: 0.163928, min_value:-0.181357 
#
# -------- Slice 5/6 --------
0.030580 0.022289 0.018671 0.009229 0.084369
0.046824 0.012501 -0.009943 -0.039031 0.056813
-0.016980 -0.125596 0.056444 -0.133566 0.101590
